,id,strategy,instrument_str,entry_timestamp,entry_transaction_type,entry_quantity,entry_price,exit_timestamp,exit_transaction_type,exit_quantity,exit_price,pnl_absolute,pnl_percentage,pnl_cumulative_absolute,pnl_cumulative_percentage,equity_curve,drawdown_percentage
0,1672814,1059,NSE_FO:BANKNIFTY2452247900PE,2024-05-17 09:20:00,1,15,350.4,2024-05-17 15:10:00,0.0,15.0,244.95,1581.75,30.09,242907.25,121.45,442907.25,-12.9
1,1672812,1059,NSE_FO:BANKNIFTY2452247900CE,2024-05-17 09:20:00,1,15,342.9,2024-05-17 15:10:00,0.0,15.0,361.0,-271.5,-5.28,241325.5,120.66,441325.5,-13.21
2,1672196,1059,NSE_FO:BANKNIFTY2452247900PE,2024-05-16 09:20:00,1,15,370.65,2024-05-16 15:10:00,0.0,15.0,333.6,555.75,10.0,241597.0,120.8,441597.0,-13.16
3,1672193,1059,NSE_FO:BANKNIFTY2452247900CE,2024-05-16 09:20:00,1,15,391.2,2024-05-16 15:10:00,0.0,15.0,377.2,210.0,3.58,241041.25,120.52,441041.25,-13.26
4,1671537,1059,NSE_FO:BANKNIFTY2451547900PE,2024-05-15 09:20:00,1,15,175.4,2024-05-15 15:10:00,0.0,15.0,221.55,-692.25,-26.31,240831.25,120.42,440831.25,-13.31
5,1671536,1059,NSE_FO:BANKNIFTY2451547900CE,2024-05-15 09:20:00,1,15,140.0,2024-05-15 15:10:00,0.0,15.0,0.25,2096.25,99.82,241523.5,120.76,441523.5,-13.17
6,1670979,1059,NSE_FO:BANKNIFTY2451547900PE,2024-05-14 09:20:00,1,15,256.8,2024-05-14 15:10:00,0.0,15.0,195.8,915.0,23.75,239427.25,119.71,439427.25,-13.58
7,1670978,1059,NSE_FO:BANKNIFTY2451547900CE,2024-05-14 09:20:00,1,15,269.85,2024-05-14 15:10:00,0.0,15.0,175.9,1409.25,34.82,238512.25,119.26,438512.25,-13.76
8,1670406,1059,NSE_FO:BANKNIFTY2451547400PE,2024-05-13 09:20:00,1,15,331.45,2024-05-13 15:10:00,0.0,15.0,133.85,2964.0,59.62,237103.0,118.55,437103.0,-14.04
9,1670405,1059,NSE_FO:BANKNIFTY2451547400CE,2024-05-13 09:20:00,1,15,332.05,2024-05-13 15:10:00,0.0,15.0,487.2,-2327.25,-46.72,234139.0,117.07,434139.0,-14.62
10,1669861,1059,NSE_FO:BANKNIFTY2451547400PE,2024-05-10 09:20:00,1,15,375.3,2024-05-10 15:10:00,0.0,15.0,316.2,886.5,15.75,236466.25,118.23,436466.25,-14.16
11,1669762,1059,NSE_FO:BANKNIFTY2451547400CE,2024-05-10 09:20:00,1,15,440.4,2024-05-10 15:10:00,0.0,15.0,361.45,1184.25,17.93,235579.75,117.79,435579.75,-14.34
12,1669221,1059,NSE_FO:BANKNIFTY2451548200PE,2024-05-09 09:20:00,1,15,422.4,2024-05-09 15:10:00,0.0,15.0,822.05,-5994.75,-94.61,234395.5,117.2,434395.5,-14.57
13,1669216,1059,NSE_FO:BANKNIFTY2451548200CE,2024-05-09 09:20:00,1,15,411.5,2024-05-09 15:10:00,0.0,15.0,154.35,3857.25,62.49,240390.25,120.2,440390.25,-13.39
14,1668552,1059,NSE_FO:BANKNIFTY2450848200PE,2024-05-08 09:20:00,1,15,191.7,2024-05-08 15:10:00,0.0,15.0,200.15,-126.75,-4.41,236533.0,118.27,436533.0,-14.15
15,1668550,1059,NSE_FO:BANKNIFTY2450848200CE,2024-05-08 09:20:00,1,15,178.25,2024-05-08 15:10:00,0.0,15.0,0.25,2670.0,99.86,236659.75,118.33,436659.75,-14.13
16,1667923,1059,NSE_FO:BANKNIFTY2450848900PE,2024-05-07 09:20:00,1,15,237.35,2024-05-07 15:10:00,0.0,15.0,705.0,-7014.75,-197.03,233989.75,116.99,433989.75,-14.65
17,1667921,1059,NSE_FO:BANKNIFTY2450848900CE,2024-05-07 09:20:00,1,15,304.9,2024-05-07 15:10:00,0.0,15.0,36.9,4020.0,87.9,241004.5,120.5,441004.5,-13.27
18,1667390,1059,NSE_FO:BANKNIFTY2450849000PE,2024-05-06 09:20:00,1,15,319.2,2024-05-06 15:10:00,0.0,15.0,272.2,705.0,14.72,236984.5,118.49,436984.5,-14.06
19,1667385,1059,NSE_FO:BANKNIFTY2450849000CE,2024-05-06 09:20:00,1,15,361.15,2024-05-06 15:10:00,0.0,15.0,282.25,1183.5,21.85,236279.5,118.14,436279.5,-14.2
20,1666790,1059,NSE_FO:BANKNIFTY2450849500PE,2024-05-03 09:20:00,1,15,331.7,2024-05-03 15:10:00,0.0,15.0,637.95,-4593.75,-92.33,235096.0,117.55,435096.0,-14.43
21,1666787,1059,NSE_FO:BANKNIFTY2450849500CE,2024-05-03 09:20:00,1,15,377.9,2024-05-03 15:10:00,0.0,15.0,156.1,3327.0,58.69,239689.75,119.84,439689.75,-13.53
22,1666329,1059,NSE_FO:BANKNIFTY2450849500PE,2024-05-02 09:20:00,1,15,422.1,2024-05-02 15:10:00,0.0,15.0,453.25,-467.25,-7.38,236362.75,118.18,436362.75,-14.18
23,1666328,1059,NSE_FO:BANKNIFTY2450849500CE,2024-05-02 09:20:00,1,15,401.85,2024-05-02 15:10:00,0.0,15.0,306.6,1428.75,23.7,236830.0,118.42,436830.0,-14.09
24,1665593,1059,NSE_FO:BANKNIFTY2443049400PE,2024-04-30 09:20:00,1,15,127.45,2024-04-30 15:10:00,0.0,15.0,7.4,1800.75,94.19,235401.25,117.7,435401.25,-14.37
25,1665591,1059,NSE_FO:BANKNIFTY2443049400CE,2024-04-30 09:20:00,1,15,182.2,2024-04-30 15:10:00,0.0,15.0,52.65,1943.25,71.1,233600.5,116.8,433600.5,-14.73
26,1665120,1059,NSE_FO:BANKNIFTY2443048400PE,2024-04-29 09:20:00,1,15,190.95,2024-04-29 15:10:00,0.0,15.0,28.4,2438.25,85.13,231657.25,115.83,431657.25,-15.11
27,1665116,1059,NSE_FO:BANKNIFTY2443048400CE,2024-04-29 09:20:00,1,15,276.85,2024-04-29 15:10:00,0.0,15.0,1120.6,-12656.25,-304.77,229219.0,114.61,429219.0,-15.59
28,1664722,1059,NSE_FO:BANKNIFTY2443048500PE,2024-04-26 09:20:00,1,15,290.6,2024-04-26 15:10:00,0.0,15.0,475.7,-2776.5,-63.7,241875.25,120.94,441875.25,-13.1
29,1664719,1059,NSE_FO:BANKNIFTY2443048500CE,2024-04-26 09:20:00,1,15,309.85,2024-04-26 15:10:00,0.0,15.0,160.35,2242.5,48.25,244651.75,122.33,444651.75,-12.55
30,1664196,1059,NSE_FO:BANKNIFTY2443047900PE,2024-04-25 09:20:00,1,15,263.0,2024-04-25 15:10:00,0.0,15.0,133.65,1940.25,49.18,242409.25,121.2,442409.25,-13.0
31,1664195,1059,NSE_FO:BANKNIFTY2443047900CE,2024-04-25 09:20:00,1,15,400.0,2024-04-25 15:10:00,0.0,15.0,760.15,-5402.25,-90.04,240469.0,120.23,440469.0,-13.38
32,1663688,1059,NSE_FO:BANKNIFTY24APR48100PE,2024-04-24 09:20:00,1,15,142.3,2024-04-24 15:10:00,0.0,15.0,0.4,2128.5,99.72,245871.25,122.94,445871.25,-12.31
33,1663686,1059,NSE_FO:BANKNIFTY24APR48100CE,2024-04-24 09:20:00,1,15,92.8,2024-04-24 15:10:00,0.0,15.0,97.4,-69.0,-4.96,243742.75,121.87,443742.75,-12.73
34,1663209,1059,NSE_FO:BANKNIFTY24APR48100PE,2024-04-23 09:20:00,1,15,206.1,2024-04-23 15:10:00,0.0,15.0,216.0,-148.5,-4.8,243811.75,121.91,443811.75,-12.72
35,1663208,1059,NSE_FO:BANKNIFTY24APR48100CE,2024-04-23 09:20:00,1,15,181.6,2024-04-23 15:10:00,0.0,15.0,112.4,1038.0,38.11,243960.25,121.98,443960.25,-12.69
36,1662811,1059,NSE_FO:BANKNIFTY24APR47800PE,2024-04-22 09:20:00,1,15,314.0,2024-04-22 15:10:00,0.0,15.0,171.35,2139.75,45.43,242922.25,121.46,442922.25,-12.89
37,1662810,1059,NSE_FO:BANKNIFTY24APR47800CE,2024-04-22 09:20:00,1,15,357.0,2024-04-22 15:10:00,0.0,15.0,330.3,400.5,7.48,240782.5,120.39,440782.5,-13.32
38,1662343,1059,NSE_FO:BANKNIFTY24APR46700PE,2024-04-19 09:20:00,1,15,413.5,2024-04-19 15:10:00,0.0,15.0,165.55,3719.25,59.96,240382.0,120.19,440382.0,-13.39
39,1662342,1059,NSE_FO:BANKNIFTY24APR46700CE,2024-04-19 09:20:00,1,15,422.75,2024-04-19 15:10:00,0.0,15.0,1050.25,-9412.5,-148.43,236662.75,118.33,436662.75,-14.13
40,1661779,1059,NSE_FO:BANKNIFTY24APR47800PE,2024-04-18 09:20:00,1,15,321.15,2024-04-18 15:10:00,0.0,15.0,805.45,-7264.5,-150.8,246075.25,123.04,446075.25,-12.27
41,1661778,1059,NSE_FO:BANKNIFTY24APR47800CE,2024-04-18 09:20:00,1,15,387.8,2024-04-18 15:10:00,0.0,15.0,168.95,3282.75,56.43,253339.75,126.67,453339.75,-10.85
42,1661156,1059,NSE_FO:BANKNIFTY2441647400PE,2024-04-16 09:20:00,1,15,174.85,2024-04-16 15:10:00,0.0,15.0,0.45,2616.0,99.74,250057.0,125.03,450057.0,-11.49
43,1661154,1059,NSE_FO:BANKNIFTY2441647400CE,2024-04-16 09:20:00,1,15,106.05,2024-04-16 15:10:00,0.0,15.0,66.6,591.75,37.2,247441.0,123.72,447441.0,-12.01
44,1660713,1059,NSE_FO:BANKNIFTY2441648000PE,2024-04-15 09:20:00,1,15,212.85,2024-04-15 15:10:00,0.0,15.0,337.95,-1876.5,-58.77,246849.25,123.42,446849.25,-12.12
45,1660710,1059,NSE_FO:BANKNIFTY2441648000CE,2024-04-15 09:20:00,1,15,327.3,2024-04-15 15:10:00,0.0,15.0,75.9,3771.0,76.81,248725.75,124.36,448725.75,-11.75
46,1660315,1059,NSE_FO:BANKNIFTY2441648900PE,2024-04-12 09:20:00,1,15,320.05,2024-04-12 15:10:00,0.0,15.0,359.8,-596.25,-12.42,244954.75,122.48,444954.75,-12.49
47,1660314,1059,NSE_FO:BANKNIFTY2441648900CE,2024-04-12 09:20:00,1,15,257.65,2024-04-12 15:10:00,0.0,15.0,149.0,1629.75,42.17,245551.0,122.78,445551.0,-12.38
48,1660060,1059,NSE_FO:BANKNIFTY2441648900PE,2024-04-11 09:20:00,1,15,300.0,2024-04-11 15:10:00,0.0,15.0,300.0,0.0,0.0,243921.25,121.96,443921.25,-12.7
49,1660059,1059,NSE_FO:BANKNIFTY2441648900CE,2024-04-11 09:20:00,1,15,316.75,2024-04-11 15:10:00,0.0,15.0,316.75,0.0,0.0,243921.25,121.96,443921.25,-12.7
